<new sheet>
sheet_name: Depository Corporations Survey
,Depository Corporations Survey,,,,,

,Period,,Rs. million,,,
,,,Broad Money (M2b),Domestic Net Credit to Central Government ,Other Domestic Credit ,Net Foreign Assets of the Banking System
,,,Broad Money (M2b),Broad Money (M2b),Broad Money (M2b),Broad Money (M2b)
,,March,1851671.3715705904,656725.7213222259,1330487.01195735,362346.24424927763
,,April,1868861.9854015491,655566.0341679333,1346669.7961717243,364191.48428572516
,,May,1875268.454540823,675048.7659193904,1351219.77235376,345554.05162732746
,,June,1881429.5588234067,683912.1466740379,1375760.5271552394,342032.4025030768
,,July,1916381.8102396633,689757.7366596137,1396358.6277134644,334952.1552253787
,,August,1939710.3832508458,697386.0614012835,1432582.677697524,330398.1763896148
,,September,1971922.631268431,693081.2374958908,1466029.0354806776,347192.1262747396
,,October,2007826.8057181356,594461.7085611168,1534065.8447043113,419066.49238178495
,,November,2022307.41210573,564448.3024970148,1595563.2734797176,374299.93156976264
,,December,2091407.8297268501,627184.5237636316,1635676.5269268383,377441.9299465611
,2011,January,2101054.944092951,604551.1220729727,1664088.4736922944,344394.8902448356
,,February,2136097.139229059,645643.6894874126,1701231.794871718,335050.2420243539
,,March,2176198.835289309,659223.3770152354,1726083.5503351314,334192.5913705116
,,April,2212071.387535527,697693.2154622396,1751205.8851992353,333850.90972497425
,,May,2239036.209162498,708238.2297539641,1788167.859905539,308868.168556863
,,June,2270914.168128447,734782.6005368049,1852869.5732765794,271337.60235302866
,,July,2312285.1941538574,731215.9592907957,1868139.311270292,324405.029188697
,,August,2339670.2028247598,773009.435876291,1917116.042019752,300160.9088763848
,,September,2379865.2776391874,796410.954548526,1968955.474408415,231707.33861909097
,,October,2404951.5505617945,787485.8940515111,2043696.780653946,213237.39093229067
,,November,2438667.6223672503,801533.0339247,2124995.5513682202,168083.59088629996
,,December,2491739.850716512,833609.9849932778,2204359.6884725722,98057.29496721947
,2012,January,2523084.024935495,926775.04031598,2252169.20820157,53270.14526627498
,,February,2604656.3779448466,969958.2270741155,2324038.7736440618,43097.58999559673
,,March,2672826.6074532047,996481.7823479436,2408150.64103166,19540.375482525676
,,April,2719167.4264003257,1028529.3510031059,2436985.9263660572,20491.296541806892
,,May,2707158.763817987,1024824.7802031521,2482756.131439586,-27760.616972023854
,,June,2737070.0705907224,1010278.939849002,2510516.3033404467,-69830.13836700493
,,July,2770896.638320577,998818.863270192,2532125.3274269793,-13923.645553679147
,,August,2813408.6023676423,1031464.3503122675,2548943.1944592665,-14900.765374563518
,,September,2828650.8947942955,1035126.6388851781,2566793.215163139,-30210.94407561305
,,October,2842561.593012793,1042724.5772764259,2579037.311643858,-24119.00935068971
,,November,2880656.8665112294,1054956.2090072692,2609603.742321851,-25021.0465504037
,,December,2929070.176657767,1045232.2486015076,2650898.628760687,-25831.11689540441
,2013,January,2984631.777246331,1087317.2668842135,2659549.7934312443,-22163.25122677395
,,February,3048073.811058917,1115426.4859021525,2686086.898875757,-43901.33746377373
,,March,3089745.988573272,1180464.9614462554,2731090.110956359,-105577.46399118425
,,April,3132660.3281580587,1217208.4768503755,2747758.6260445695,-95174.18791246385
,,May,3147468.7367090713,1226837.6459929547,2750238.419179144,-112123.56684176804
,,June,3169809.6746186516,1263639.6229210864,2767249.1555890124,-169033.6450633878
,,July,3225521.3756882874,1304383.80682272,2824973.534233128,-197859.43529604794
,,August,3244571.2093175896,1342599.433960782,2828892.695738025,-216591.28279159754
,,September,3289131.970824686,1292337.8550781664,2808856.2703754036,-87899.29427041428
,,October,3362500.914547501,1329024.2429271745,2823545.5204259637,-51176.82042298617
,,November,3363136.4686878445,1325492.6891174,2826981.6194326403,-63554.44114342594
,,December,3417852.828741571,1301341.79536274,2899440.709237092,-76325.06890249008
,2014,January,3460811.544773655,1369662.2412941623,2850076.912068944,-22966.206234471407
,,February,3495405.563267052,1344574.6680397172,2830475.9759375784,68784.99344964314
,,March,3538064.90014181,1393185.483942695,2828233.990004484,96176.26385830797
,,April,3546480.673122473,1386359.2411150977,2812687.710737846,124166.3354559901
,,May,3555525.2899869634,1374907.0665263378,2804004.6835880904,159074.88099729933
,,June,3592830.18060473,1377401.3713230384,2830974.1264971606,163560.70998862816
,,July,3608027.589809764,1402207.52661293,2808782.105765895,201968.50594739045
,,August,3642182.3976379717,1362240.9451878925,2867512.9769827765,212683.2322476207
,,September,3709640.5928334077,1388662.4103786577,2945780.946522557,149534.98579109495
,,October,3747630.562588319,1401375.3423149858,3027986.0412025983,93352.19689410366
,,November,3794824.4087826097,1425107.8246086386,3113190.6154329297,27222
,,December ,3875853.236481563,1435899.7113055116,3204245.9300183,15126.04877861985
,2015,January,3896006.603543232,1557502.796762336,3248062.8308603894,-118286.70371693198
,,February ,3926630.2240120703,1644791.6829866602,3285408.3250523712,-121587.78608352738
,,March ,3980651.1832572874,1613147.7185542579,3329827.253302714,-162043.11295817595
,,April ,4038159.689784511,1626750.310035313,3357374.045364987,-171335.19704719097
,,May ,4102787.6105757947,1662710.881071736,3405048.496381912,-176961.25196429528
,,June ,4141100.5727354363,1673771.2077260122,3445807.9754316225,-205498.85805230297
,,July ,4193878.369798652,1735573.582502272,3479842.946822856,-241248.5405082777
,,August ,4252506.889365569,1735631.0048051311,3551265.468235439,-278842.746052779
,,September ,4305002.99005205,1778441.1386534972,3681586.553824744,-362660.3493320876
,,October (a),4384849.123711551,1810218.5915624981,3845465.683723394,-398431.73405414826
,,November ,4447629.340398852,1704782.8618741166,3929994.255737467,-313487.5957569489
,,December ,4565917.391833814,1759491.6177577141,3972542.779651667,-298163.14264040755
,2016,January ,4638282.483806441,1868031.7202206808,4020766.953357855,-360378.4017549678
